text,label
"1. Az Alza.hu Kft. (cégjegyzékszám: 01-09-286873; adószám: 25745849-2-41; a továbbiakban: „Alza”) a jelen általános szerződési feltételeket (a továbbiakban: „Fogyasztói ÁSZF”) alkalmazza az ÁSZF 2. pontja szerint fogyasztónak minősülő vásárlókkal (a továbbiakban: „Fogyasztó”) kötött valamennyi szerződése, ügylete esetében. Ezen ÁSZF tartalmazza továbbá a www.alza.hu Webáruház felhasználási feltételeit. Az Alza és a Fogyasztó (a továbbiakban együtt: „Felek”) közötti szerződéses ügyletek közé tartoznak elsősorban a Fogyasztónak az Alza által a www.alza.hu internetes weboldalon üzemeltetett Webáruházban (a továbbiakban: „Webáruház”), az Alza applikáción keresztül vagy az Alza fizikai üzlethelyiségeiben történő megrendelései, vásárlásai.",3-Többé/kevésbé megértem
"2. Jelen Fogyasztói ÁSZF csak a fogyasztónak minősülő vásárlókra vonatkozik. Fogyasztónak minősül a szakmája, önálló foglalkozása vagy üzleti tevékenysége körén kívül eljáró természetes személy. A jelen Fogyasztói ÁSZF IX. Hibás teljesítés fejezete tekintetében – kivéve a IX.2.1 Jogszabályon alapuló, kötelező jótállás alcím rendelkezéseit – Fogyasztó alatt a szakmája, önálló foglalkozása vagy üzleti tevékenysége körén kívül eljáró a kis- és középvállalkozásokról, fejlődésük támogatásáról szóló 2004. évi XXXIV. törvény szerinti mikro- kis- és középvállalkozásokat is érteni kell. Egyebekben a fogyasztónak nem minősülő vásárlókra külön általános szerződési feltételek (a továbbiakban: „Vállalkozói ÁSZF”) vonatkoznak, melyek itt érhetőek el.",2-Nehezen érthető
"3. A jelen Fogyasztói ÁSZF tartalmának elfogadása nélkül nem lehetséges az Alzától vásárolni. Jelen Fogyasztói ÁSZF az Alza weboldalán megismerhető és pdf formátumban is letölthető. Az Alza a Fogyasztóval kötendő valamennyi magánjogi ügylet tekintetében kifejezetten kizárja a nem általa meghatározott, más általános szerződési feltételek alkalmazását.",4-Érthető
4. A jelen Fogyasztói ÁSZF-nek a Webáruház használatára vonatkozó rendelkezéseit és feltételeit minden felhasználó a weboldal használatával kifejezetten elfogadja.,4-Érthető
5. A Fogyasztó a Webáruházban és a fizikai üzletben történő megrendelés/vásárlás során is az Alzával kerül szerződéses jogviszonyba.,5-Könnyen érthető
"6. Alzára vonatkozó információk Cégnév: Alza.hu Korlátolt Felelősségű Társaság Székhely: 1134 Budapest, Róbert Károly körút 54-58. Cégjegyzékszám: 01-09-286873 Bejegyzést végző Bíróság: Fővárosi Törvényszék Cégbírósága Adószám: 25745849-2-41 Tárhelyszolgáltató neve: Ce-Colo czech s.r.o. A tárhely szolgáltató székhelye: Nad Elektrárnou 1428/47, 106 00 Prague 10, Czech Republic (Csehország) A tárhely szolgáltató elektronikus levelezési címe: info@cecolo.com Az Ügyfélszolgálat elektronikus levelezési címe: segito@alza.hu Az Ügyfélszolgálat telefonszáma +36 1 701 11 11 A Telefonos ügyfélszolgálat elérhetősége: minden nap 8:00 – 20:00 óra között",3-Többé/kevésbé megértem
"7. Az Alza a Fogyasztók tájékoztatása érdekében könnyen érthető információs oldalakat is készít, lásd például a Szállítási Információk és Fizetési Lehetőségek oldalakat. A jelen ÁSZF-ben megjelölt, vagy hivatkozott tájékoztatási aloldalakon a szerződéskötés időpontjában megjelenített információk a jelen Fogyasztói ÁSZF részét képezik, és ekképpen az Alza és a Fogyasztó között létrejövő szerződés részét képezik.",3-Többé/kevésbé megértem
"8. Az Alza Applikáció használatára (azon történő böngészés, megrendelés, vásárlás, reklamáció, egyéb ügyintézés stb.) is jelen Fogyasztói ÁSZF, különösen a Webáruházzal kapcsolatban megfogalmazott rendelkezések az irányadóak, kivéve, ha az Alza Applikációra ellenkező vagy kiegészítő rendelkezést rögzít a jelen Fogyasztói ÁSZF.",3-Többé/kevésbé megértem
"9. Az Alza a Webáruházban leadott megrendeléseket a nap 24 órájában fogadja, a hét minden napján. A Webáruház működéséhez szükséges információs rendszerek meghibásodása vagy elháríthatatlan külső ok (ún. vis maior helyzet) esetén az Alza semmilyen felelősséget nem vállal azon időszakra nézve, amely alatt a Webáruház nem volt elérhető.",4-Érthető
"10. A Webáruház (a www.alza.hu és Alza Applikáció tartalma, a www.alza.hu domainje és az azon lévő aloldalainak domainjei) szerzői jogvédelem és szellemi tulajdonjogi oltalom alatt áll, azok az Alza tulajdonát képezik. Az Alza Webáruház tartalmának, ideértve az Alza árujelzőit (logók, védjegyek, grafikák, design stb.) bárminemű felhasználása csak az Alza előzetes, írásbeli hozzájárulása alapján engedélyezett.",4-Érthető
"11. Az Alza semmilyen esetben sem ad engedélyt az Alza adatbázisainak lemásolására vagy módosítására, forráskódjának visszafejtésére, a forráskódba való jogosulatlan beavatkozás tilos. Tilos bármilyen automatikus eszközzel (pl. botokkal) adatot gyűjteni a Webáruházból, és tilos bármilyen kísérlet a rendszer biztonságának megkerülésére. Tilos a Webáruház rendszerének bármilyen szándékos megzavarása, túlterhelése vagy jogosulatlan manipulálása.",4-Érthető
"12. A Weboldalon tilos a trágár, gyűlöletkeltő, fenyegető vagy más módon sértő hozzászólás közzététele. Az értékeléseknek és a hozzászólásoknak tárgyilagosaknak és a termékhez kapcsolódóknak kell lenniük. A Weboldalon személyeskedő megjegyzéseknek nincs helye. Tilos más személyek adatainak, képeinek, nevének jogosulatlan használata. A spam jellegű hozzászólások, promóciók, linkek közzététele szigorúan tilos.",4-Érthető
"13. A Fogyasztó tudomásul veszi, hogy az Alzától történő termékvásárlás során a Fogyasztó nem jogosult az Alza szerződéses partnerei, illetve az Alza által bejegyzett védjegyek, kereskedelmi nevek, céglogók stb. – a szokásos magánfelhasználás mértékét túllépő, így különösen üzleti célú – használatára. Ettől a rendelkezéstől csak egyedi megállapodás alapján lehet eltérni.",3-Többé/kevésbé megértem
"14. Az Alza minden felelősséget kizár a Webáruház felhasználói által tanúsított magatartásokért. A Fogyasztó tudomásul veszi, hogy az Alza kifejezetten kizárja a felelősségét a harmadik személyek által közzétett tartalmakért, abban az esetben is, ha a harmadik személyek tartalmaihoz, oldalaira a Fogyasztó a Webáruházában elhelyezett linken keresztül jut el. A Fogyasztó a Webáruházat kizárólag a saját kockázatára használhatja , és az Alza nem felelős az olyan kárért, ami a Webáruház használat során a Fogyasztó érdekkörében, vagy a mulasztásából eredően következett be. Az Alza nem felelős a Fogyasztó készülékében, szoftvereiben bekövetkező bármely meghibásodásért, illetve adatvesztésért , valamint bármilyen adat vagy üzenet, SMS, Fogyasztó érdekkörében történő elvesztéséért, kézbesíthetetlenségéért, ideértve azt is, ha az a Fogyasztó levelező programjában a Spam/Levélszemét mappába érkezik, vagy a Fogyasztó által használt spam szűrő kiszűri. A Fogyasztó tudomásul veszi, hogy a Webáruház használatához internetkapcsolat szükséges. Az Alza nem felelős az internethálózat, illetve bármely más kommunikációs hálózat hibáiért, elérhetetlenségéért, összhangban a 9. pontban írtakkal.",2-Nehezen érthető
"15. A Fogyasztó tudomásul veszi, hogy a Webáruházban egyes termékeknél megjelenített képek az Alzával szerződött gyártó/forgalmazó (mint harmadik felek) által rendelkezésre bocsátott illusztrációk, ezért azok a valós termékektől nem lényeges tulajdonságaikban eltérhetnek (pl. előfordulhat , hogy a termék ugyanazzal a tartalommal/paraméterekkel rendelkezik, de némileg eltérő színű, mint ami a képen szerepel). Az Alza a nem lényeges eltérés esetén felelősséggel nem tartozik. A Fogyasztó tudomásul veszi, hogy a Webáruházban megtekinthető képek elsősorban tájékoztató jellegűek.",4-Érthető
"16. A Webáruház bárki által látogatható, és lehetőség van saját felhasználói fiók létrehozására is, regisztráció útján. A Fogyasztók a Webáruházában regisztrációval, illetve regisztráció nélkül, vendégként is bonyolíthatnak vásárlást.",5-Könnyen érthető
"17. A Webáruházba regisztrált felhasználók a vásárlási folyamat során a megrendelés befejezése előtt bármikor bejelentkezhetnek felhasználói fiókjukba (a továbbiakban: „Alza Fiók”) az e-mail címük és jelszavuk megadásával, illetve az Alza által SMS-ben küldött ellenőrző kód beírásával is. A regisztrált felhasználók a megrendelésük állapotát felhasználói fiókjukban folyamatosan nyomon követhetik, korábbi megrendeléseik részleteit áttekinthetik, és az ezekre vonatkozó számviteli bizonylatokat, számlákat letölthetik.",4-Érthető
"18. A Fogyasztóknak felhasználói fiók létrehozásához az alábbi adatokat szükséges megadniuk: név, e-mail cím, jelszó, számlázási cím, szállítási cím, telefonszám. A felhasználói fiók létrehozásához ezt követően a regisztrációt a Fogyasztónak meg kell erősítenie a megadott telefonszámra SMS üzenetben kapott kód megadásával a felületen megjelenő ablakban.",5-Könnyen érthető
"19. A Fogyasztó a regisztráció során, illetve a mennyiben regisztráció nélkül vásárol, a megrendelés során megadott adatok pontosságért és valódiságáért felelősséggel tartozik, az adatok helytelen vagy pontatlan megadás a miatti késedelemért és az ebből eredő többletköltségekért (pl. szállítás) az Alza felelősséget nem vállal. A Fogyasztó felelősséggel tartozik jelszava titokban tartásáért, az Alza kizárja a felelősségét bármilyen azzal kapcsolatos kárért, hogy a Fogyasztó jelszavát harmadik személy az Alzán kívül álló okból megismerte. A Fogyasztó kizárólag saját nevében és saját adataival jogosult a Webáruház használatára. Valótlan, hamis vagy más személy adataival történő regisztráció tilos.",4-Érthető
"20. A Fogyasztónak (és bármely felhasználónak) bármikor lehetősége van az Alza Fiók törlésére (feltéve, hogy az Alza Fiókon belül nincs nyitott tartozás, ide nem értve az utánvétet), melyre az alábbi módokon van lehetőség: ",5-Könnyen érthető
a. a Fogyasztó a regisztrált e-mail címéről küldött üzenetben vagy a regisztrált telefonszámon keresztül az Ügyfélszolgálattól kérheti a felhasználói fiókja törlését;,5-Könnyen érthető
b. a Fogyasztó az Alza Fiókján belül a „Fiók törlése” lehetőség kiválasztásával törölheti a felhasználói fiókját.,5-Könnyen érthető
"21. A felhasználói fiók törlésével a Fogyasztó elveszíti a hozzáférést a Fiókban tárolt számlához, jóváíráshoz, egyéb dokumentumokhoz, valamint az elektronikus könyvtárához, beleértve az e-könyveket, hangoskönyveket és egyéb digitális tartalmakat.",5-Könnyen érthető
22. Személyes adatainak kezeléséről (és törlési kérelemről) egyebekben az Alza Adatvédelmi Szabályzatában olvashat. ,5-Könnyen érthető
23. A Webáruházban történő vásárlás menetéről szóló egyszerűbb útmutató (Hogyan vásárolj az Alza.hu-n?) itt olvasható.,5-Könnyen érthető
"24. A Fogyasztók az Alza által értékesített termékeket (ideértve a digitális tartalmakat is) és szolgáltatásokat az Alza által üzemeltetett Webáruházban tekinthetik meg. A Webáruházban a Fogyasztók az értékesített termékek és szolgáltatások között keresni is tudnak (pl. a termék gyártójának vagy a termék nevének megadásával). Adott termék vagy szolgáltatás adatlapjára kattintva a Fogyasztók tájékoztatást kapnak a termék vagy szolgáltatás legfontosabb jellemzőiről és lényeges tulajdonságairól, többek között a termék ÁFÁ-val növelt eladási áráról, egységáráról, a termék raktáron történő elérhetőségéről, az adott termék kapcsán elérhető kiszállítási módokról, várható szállítási időkről, a jogszabályon alapuló jótállási időkről, és a termék fontosabb műszaki paramétereiről.",4-Érthető
"25. A Fogyasztó a termékoldalon a „Kosárba” gombra kattintva helyezheti a terméket a virtuális kosarába. A termék „Kosárba” helyezése még nem jelenti a termék Fogyasztó általi lefoglalását, az ajánlat elküldését, így fizetési kötelezettséget sem keletkeztet a Fogyasztó oldaláról.",5-Könnyen érthető
"26. A „Kosár” elnevezésű felületen a Webáruház jobb felső szélén látható „Virtuális kosár” ikonra kattintva a Fogyasztó folyamatosan ellenőrizheti a kosara tartalmát, illetve szándéka szerint módosíthatja azt. E felületen megjelenik a kiválasztott termék vagy szolgáltatás ÁFA összegével növelt vételára (a továbbiakban: „bruttó vételár”) is. E felületen van lehetőség a kedvezménykód vagy ajándékutalvány kódjának a megadására is. A „Kosár” felületen van lehetősége a Fogyasztónak arra is, hogy a kosárba helyezett termékekhez kiegészítő szolgáltatásokat vásároljon az Alzától. Ezen szolgáltatások áráról a Fogyasztó a „Kosár” felületén szintén tájékozódhat. A kiegészítő szolgáltatásokról és azok lényeges tulajdonságairól bővebb információt a Fogyasztó az adott szolgáltatásra kattintva, illetve a szolgáltatások bemutatását tartalmazó dedikált aloldalon (ide kattintva) talál.",4-Érthető
"27. A „Szállítás & Fizetés” elnevezésű felületen, (ahová a Kosár oldalon a „Folytatás” gombra kattintva juthat a Fogyasztó) a Fogyasztó kiválaszthatja az Alza által felkínált szállítási módok közül a számára leginkább megfelelőt. Ezen a felületen a Fogyasztó tájékoztatást kap a kiválasztani tervezett szállítási módhoz tartozó várható szállítási határidőről és a szállítás díjáról is.",5-Könnyen érthető
"28. A Webáruházban a szállítás várható időpontjáról nyújtott információk tájékoztató jellegűek, a közzétett információk az Alza becslésén alapulnak. Ezért előfordulhat, hogy a vásárlási folyamat során közölt szállítási idők az Alza által tanúsított legnagyobb gondosság ellenére is, előre nem látható külső körülmények (pl. vis maior helyzet, időjárás, forgalmi korlátozások stb.) miatt módosulnak. A várható szállítási határidő módosulásáról az Alza a Fogyasztót észszerű időben tájékoztatja.",4-Érthető
"29. Az Alza által kínált szállítási módokról a Fogyasztó a Szállítási Információk aloldalon is tájékozódhat, mely tájékoztató oldal valamennyi szállítási módra vonatkozó lényeges információt tartalmazza, ideértve a szállítási költségeket és a szállítási feltételeket.",5-Könnyen érthető
"30. Az Alza nem garantálja a Fogyasztó számára valamennyi szállítási mód igénybevételének a lehetőségét. Egyes szállítási módokat attól függően ajánlja fel az Alza a Fogyasztónak, hogy az adott szállítási mód elérhető-e a megadott címen, illetve milyen szállítási kapacitások állnak az Alza rendelkezésére az adott pillanatban. A szállítás várható ideje és költsége a kiválasztott szállítási mód függvényében változik.",4-Érthető
31. Az Alza jelenleg az alábbi szállítási módokat kínál hatja a Fogyasztóknak: ,5-Könnyen érthető
"a. személyes átvétel: AlzaBox csomagautomatákon keresztül, üzleteinkben, Alza Drive-on keresztül, valamint együttműködő partnereink által üzemeltetett csomagátvevő helyeken, pl. a Packeta , Z-Box Csomagautomatákon és Csomagpontokon, FoxPost Csomagautomatákon és a PostaPontokon keresztül, Coop üzletekben, MOL benzinkutakon stb.",5-Könnyen érthető
"b. házhozszállítás: melyet Budapesten az Alza Express, az ország többi részében pedig az Alza által megbízott logisztikai partnerek – így a DPD, az Express One, és a MPL – biztosítanak,",5-Könnyen érthető
"c. házhozszállítás nagyméretű csomagok esetén: ezen szolgáltatást az Alza Express és az Alza által megbízott logisztikai partner, a Gebrüder Weiss biztosítja.",5-Könnyen érthető
"32. A szállítási mód kiválasztását követően a Fogyasztó válaszhat az Alza által felkínált fizetési módok közül, illetve tájékoztatás kap az egyes fizetési módokhoz tartozó költségekről is. A fizetési módok lényeges feltételeiről részletes tájékoztatás az alábbi dedikált aloldalon található: Fizetési Feltételek",4-Érthető
33. Az Alza Fogyasztói részére jelenleg az alábbi fizetési módokat kínálja. ,5-Könnyen érthető
